datetime_beginning_utc,datetime_beginning_ept,area,wind_generation_mw
3/1/2025 4:00:00 AM,2/28/2025 11:00:00 PM,MIDATL,827.040
3/1/2025 4:00:00 AM,2/28/2025 11:00:00 PM,OTHER,19.816
3/1/2025 4:00:00 AM,2/28/2025 11:00:00 PM,SOUTH,397.458
3/1/2025 4:00:00 AM,2/28/2025 11:00:00 PM,WEST,8558.361
3/1/2025 4:00:00 AM,2/28/2025 11:00:00 PM,RTO,9782.859
3/1/2025 4:00:00 AM,2/28/2025 11:00:00 PM,RFC,9385.401
3/1/2025 3:00:00 AM,2/28/2025 10:00:00 PM,MIDATL,837.330
3/1/2025 3:00:00 AM,2/28/2025 10:00:00 PM,OTHER,20.903
3/1/2025 3:00:00 AM,2/28/2025 10:00:00 PM,SOUTH,374.519
3/1/2025 3:00:00 AM,2/28/2025 10:00:00 PM,WEST,8553.988
3/1/2025 3:00:00 AM,2/28/2025 10:00:00 PM,RTO,9765.837
3/1/2025 3:00:00 AM,2/28/2025 10:00:00 PM,RFC,9391.318
3/1/2025 2:00:00 AM,2/28/2025 9:00:00 PM,MIDATL,775.695
3/1/2025 2:00:00 AM,2/28/2025 9:00:00 PM,OTHER,21.477
3/1/2025 2:00:00 AM,2/28/2025 9:00:00 PM,SOUTH,322.456
3/1/2025 2:00:00 AM,2/28/2025 9:00:00 PM,WEST,8572.192
3/1/2025 2:00:00 AM,2/28/2025 9:00:00 PM,RTO,9670.343
3/1/2025 2:00:00 AM,2/28/2025 9:00:00 PM,RFC,9347.887
3/1/2025 1:00:00 AM,2/28/2025 8:00:00 PM,MIDATL,639.126
3/1/2025 1:00:00 AM,2/28/2025 8:00:00 PM,OTHER,21.721
3/1/2025 1:00:00 AM,2/28/2025 8:00:00 PM,SOUTH,230.851
3/1/2025 1:00:00 AM,2/28/2025 8:00:00 PM,WEST,8298.646
3/1/2025 1:00:00 AM,2/28/2025 8:00:00 PM,RTO,9168.623
3/1/2025 1:00:00 AM,2/28/2025 8:00:00 PM,RFC,8937.772
3/1/2025 12:00:00 AM,2/28/2025 7:00:00 PM,MIDATL,574.833
3/1/2025 12:00:00 AM,2/28/2025 7:00:00 PM,OTHER,22.288
3/1/2025 12:00:00 AM,2/28/2025 7:00:00 PM,SOUTH,94.593
