datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
3/1/2025 4:00:00 AM,2/28/2025 11:00:00 PM,MIDATL,-3.090
3/1/2025 4:00:00 AM,2/28/2025 11:00:00 PM,OTHER,-0.164
3/1/2025 4:00:00 AM,2/28/2025 11:00:00 PM,SOUTH,-6.337
3/1/2025 4:00:00 AM,2/28/2025 11:00:00 PM,WEST,-3.720
3/1/2025 4:00:00 AM,2/28/2025 11:00:00 PM,RTO,-13.147
3/1/2025 4:00:00 AM,2/28/2025 11:00:00 PM,RFC,-6.810
3/1/2025 3:00:00 AM,2/28/2025 10:00:00 PM,MIDATL,-2.986
3/1/2025 3:00:00 AM,2/28/2025 10:00:00 PM,OTHER,-0.162
3/1/2025 3:00:00 AM,2/28/2025 10:00:00 PM,SOUTH,-6.170
3/1/2025 3:00:00 AM,2/28/2025 10:00:00 PM,WEST,-3.730
3/1/2025 3:00:00 AM,2/28/2025 10:00:00 PM,RTO,-12.886
3/1/2025 3:00:00 AM,2/28/2025 10:00:00 PM,RFC,-6.716
3/1/2025 2:00:00 AM,2/28/2025 9:00:00 PM,MIDATL,-2.954
3/1/2025 2:00:00 AM,2/28/2025 9:00:00 PM,OTHER,-0.162
3/1/2025 2:00:00 AM,2/28/2025 9:00:00 PM,SOUTH,-6.363
3/1/2025 2:00:00 AM,2/28/2025 9:00:00 PM,WEST,-3.759
3/1/2025 2:00:00 AM,2/28/2025 9:00:00 PM,RTO,-13.076
3/1/2025 2:00:00 AM,2/28/2025 9:00:00 PM,RFC,-6.713
3/1/2025 1:00:00 AM,2/28/2025 8:00:00 PM,MIDATL,-3.964
3/1/2025 1:00:00 AM,2/28/2025 8:00:00 PM,OTHER,-0.161
3/1/2025 1:00:00 AM,2/28/2025 8:00:00 PM,SOUTH,-6.233
3/1/2025 1:00:00 AM,2/28/2025 8:00:00 PM,WEST,-3.739
3/1/2025 1:00:00 AM,2/28/2025 8:00:00 PM,RTO,-13.936
3/1/2025 1:00:00 AM,2/28/2025 8:00:00 PM,RFC,-7.703
3/1/2025 12:00:00 AM,2/28/2025 7:00:00 PM,MIDATL,-2.985
3/1/2025 12:00:00 AM,2/28/2025 7:00:00 PM,OTHER,-0.163
3/1/2025 12:00:00 AM,2/28/2025 7:00:00 PM,SOUTH,-6.268
3/1/2025 12:00:00 AM,2/28/2025 7:00:00 PM,WEST,-3.817
3/1/2025 12:00:00 AM,2/28/2025 7:00:00 PM,RTO,-13.070
3/1/2025 12:00:00 AM,2/28/2025 7:00:00 PM,RFC,-6.802
2/28/2025 11:00:00 PM,2/28/2025 6:00:00 PM,MIDATL,-2.840
2/28/2025 11:00:00 PM,2/28/2025 6:00:00 PM,OTHER,6.525
2/28/2025 11:00:00 PM,2/28/2025 6:00:00 PM,SOUTH,-5.576
2/28/2025 11:00:00 PM,2/28/2025 6:00:00 PM,WEST,31.936
2/28/2025 11:00:00 PM,2/28/2025 6:00:00 PM,RTO,23.520
2/28/2025 11:00:00 PM,2/28/2025 6:00:00 PM,RFC,29.096
2/28/2025 10:00:00 PM,2/28/2025 5:00:00 PM,MIDATL,104.882
2/28/2025 10:00:00 PM,2/28/2025 5:00:00 PM,OTHER,135.488
2/28/2025 10:00:00 PM,2/28/2025 5:00:00 PM,SOUTH,559.940
2/28/2025 10:00:00 PM,2/28/2025 5:00:00 PM,WEST,1193.077
2/28/2025 10:00:00 PM,2/28/2025 5:00:00 PM,RTO,1857.899
2/28/2025 10:00:00 PM,2/28/2025 5:00:00 PM,RFC,1297.959
2/28/2025 9:00:00 PM,2/28/2025 4:00:00 PM,MIDATL,557.731
2/28/2025 9:00:00 PM,2/28/2025 4:00:00 PM,OTHER,326.698
2/28/2025 9:00:00 PM,2/28/2025 4:00:00 PM,SOUTH,2603.318
2/28/2025 9:00:00 PM,2/28/2025 4:00:00 PM,WEST,3287.860
2/28/2025 9:00:00 PM,2/28/2025 4:00:00 PM,RTO,6448.909
2/28/2025 9:00:00 PM,2/28/2025 4:00:00 PM,RFC,3845.591
2/28/2025 8:00:00 PM,2/28/2025 3:00:00 PM,MIDATL,1002.404
2/28/2025 8:00:00 PM,2/28/2025 3:00:00 PM,OTHER,373.163
2/28/2025 8:00:00 PM,2/28/2025 3:00:00 PM,SOUTH,3840.417
2/28/2025 8:00:00 PM,2/28/2025 3:00:00 PM,WEST,4381.045
2/28/2025 8:00:00 PM,2/28/2025 3:00:00 PM,RTO,9223.866
2/28/2025 8:00:00 PM,2/28/2025 3:00:00 PM,RFC,5383.449
2/28/2025 7:00:00 PM,2/28/2025 2:00:00 PM,MIDATL,1217.618
2/28/2025 7:00:00 PM,2/28/2025 2:00:00 PM,OTHER,358.379
2/28/2025 7:00:00 PM,2/28/2025 2:00:00 PM,SOUTH,3944.605
