datetime_beginning_utc,datetime_beginning_ept,area,wind_generation_mw
1/2/2024 4:00:00 AM,1/1/2024 11:00:00 PM,MIDATL,272.547
1/2/2024 4:00:00 AM,1/1/2024 11:00:00 PM,OTHER,26.163
1/2/2024 4:00:00 AM,1/1/2024 11:00:00 PM,SOUTH,162.482
1/2/2024 4:00:00 AM,1/1/2024 11:00:00 PM,WEST,2593.079
1/2/2024 4:00:00 AM,1/1/2024 11:00:00 PM,RTO,3028.108
1/2/2024 4:00:00 AM,1/1/2024 11:00:00 PM,RFC,2865.626
1/2/2024 3:00:00 AM,1/1/2024 10:00:00 PM,MIDATL,230.127
1/2/2024 3:00:00 AM,1/1/2024 10:00:00 PM,OTHER,26.806
1/2/2024 3:00:00 AM,1/1/2024 10:00:00 PM,SOUTH,159.474
1/2/2024 3:00:00 AM,1/1/2024 10:00:00 PM,WEST,2145.571
1/2/2024 3:00:00 AM,1/1/2024 10:00:00 PM,RTO,2535.172
1/2/2024 3:00:00 AM,1/1/2024 10:00:00 PM,RFC,2375.698
1/2/2024 2:00:00 AM,1/1/2024 9:00:00 PM,MIDATL,251.496
1/2/2024 2:00:00 AM,1/1/2024 9:00:00 PM,OTHER,28.355
1/2/2024 2:00:00 AM,1/1/2024 9:00:00 PM,SOUTH,122.871
1/2/2024 2:00:00 AM,1/1/2024 9:00:00 PM,WEST,1997.808
1/2/2024 2:00:00 AM,1/1/2024 9:00:00 PM,RTO,2372.175
1/2/2024 2:00:00 AM,1/1/2024 9:00:00 PM,RFC,2249.304
1/2/2024 1:00:00 AM,1/1/2024 8:00:00 PM,MIDATL,217.322
1/2/2024 1:00:00 AM,1/1/2024 8:00:00 PM,OTHER,29.686
1/2/2024 1:00:00 AM,1/1/2024 8:00:00 PM,SOUTH,186.466
1/2/2024 1:00:00 AM,1/1/2024 8:00:00 PM,WEST,1904.890
1/2/2024 1:00:00 AM,1/1/2024 8:00:00 PM,RTO,2308.678
1/2/2024 1:00:00 AM,1/1/2024 8:00:00 PM,RFC,2122.212
1/2/2024 12:00:00 AM,1/1/2024 7:00:00 PM,MIDATL,170.312
1/2/2024 12:00:00 AM,1/1/2024 7:00:00 PM,OTHER,30.321
1/2/2024 12:00:00 AM,1/1/2024 7:00:00 PM,SOUTH,164.751
1/2/2024 12:00:00 AM,1/1/2024 7:00:00 PM,WEST,1833.091
1/2/2024 12:00:00 AM,1/1/2024 7:00:00 PM,RTO,2168.154
1/2/2024 12:00:00 AM,1/1/2024 7:00:00 PM,RFC,2003.403
1/1/2024 11:00:00 PM,1/1/2024 6:00:00 PM,MIDATL,121.875
1/1/2024 11:00:00 PM,1/1/2024 6:00:00 PM,OTHER,30.710
1/1/2024 11:00:00 PM,1/1/2024 6:00:00 PM,SOUTH,87.776
1/1/2024 11:00:00 PM,1/1/2024 6:00:00 PM,WEST,1684.916
1/1/2024 11:00:00 PM,1/1/2024 6:00:00 PM,RTO,1894.567
1/1/2024 11:00:00 PM,1/1/2024 6:00:00 PM,RFC,1806.791
1/1/2024 10:00:00 PM,1/1/2024 5:00:00 PM,MIDATL,147.042
1/1/2024 10:00:00 PM,1/1/2024 5:00:00 PM,OTHER,31.080
1/1/2024 10:00:00 PM,1/1/2024 5:00:00 PM,SOUTH,85.479
1/1/2024 10:00:00 PM,1/1/2024 5:00:00 PM,WEST,1699.563
1/1/2024 10:00:00 PM,1/1/2024 5:00:00 PM,RTO,1932.084
1/1/2024 10:00:00 PM,1/1/2024 5:00:00 PM,RFC,1846.605
1/1/2024 9:00:00 PM,1/1/2024 4:00:00 PM,MIDATL,195.997
1/1/2024 9:00:00 PM,1/1/2024 4:00:00 PM,OTHER,30.131
1/1/2024 9:00:00 PM,1/1/2024 4:00:00 PM,SOUTH,97.342
1/1/2024 9:00:00 PM,1/1/2024 4:00:00 PM,WEST,1743.346
1/1/2024 9:00:00 PM,1/1/2024 4:00:00 PM,RTO,2036.685
1/1/2024 9:00:00 PM,1/1/2024 4:00:00 PM,RFC,1939.343
1/1/2024 8:00:00 PM,1/1/2024 3:00:00 PM,MIDATL,177.470
1/1/2024 8:00:00 PM,1/1/2024 3:00:00 PM,OTHER,29.167
1/1/2024 8:00:00 PM,1/1/2024 3:00:00 PM,SOUTH,81.579
1/1/2024 8:00:00 PM,1/1/2024 3:00:00 PM,WEST,1707.679
1/1/2024 8:00:00 PM,1/1/2024 3:00:00 PM,RTO,1966.728
1/1/2024 8:00:00 PM,1/1/2024 3:00:00 PM,RFC,1885.149
1/1/2024 7:00:00 PM,1/1/2024 2:00:00 PM,MIDATL,136.016
1/1/2024 7:00:00 PM,1/1/2024 2:00:00 PM,OTHER,29.009
1/1/2024 7:00:00 PM,1/1/2024 2:00:00 PM,SOUTH,72.252
1/1/2024 7:00:00 PM,1/1/2024 2:00:00 PM,WEST,1637.593
1/1/2024 7:00:00 PM,1/1/2024 2:00:00 PM,RTO,1845.861
1/1/2024 7:00:00 PM,1/1/2024 2:00:00 PM,RFC,1773.609
1/1/2024 6:00:00 PM,1/1/2024 1:00:00 PM,MIDATL,159.983
1/1/2024 6:00:00 PM,1/1/2024 1:00:00 PM,OTHER,29.148
1/1/2024 6:00:00 PM,1/1/2024 1:00:00 PM,SOUTH,88.367
1/1/2024 6:00:00 PM,1/1/2024 1:00:00 PM,WEST,1407.021
1/1/2024 6:00:00 PM,1/1/2024 1:00:00 PM,RTO,1655.371
1/1/2024 6:00:00 PM,1/1/2024 1:00:00 PM,RFC,1567.004
1/1/2024 5:00:00 PM,1/1/2024 12:00:00 PM,MIDATL,191.965
1/1/2024 5:00:00 PM,1/1/2024 12:00:00 PM,OTHER,29.622
1/1/2024 5:00:00 PM,1/1/2024 12:00:00 PM,SOUTH,75.221
1/1/2024 5:00:00 PM,1/1/2024 12:00:00 PM,WEST,1306.907
1/1/2024 5:00:00 PM,1/1/2024 12:00:00 PM,RTO,1574.093
1/1/2024 5:00:00 PM,1/1/2024 12:00:00 PM,RFC,1498.872
1/1/2024 4:00:00 PM,1/1/2024 11:00:00 AM,MIDATL,217.210
1/1/2024 4:00:00 PM,1/1/2024 11:00:00 AM,OTHER,29.836
1/1/2024 4:00:00 PM,1/1/2024 11:00:00 AM,SOUTH,85.846
1/1/2024 4:00:00 PM,1/1/2024 11:00:00 AM,WEST,1438.205
1/1/2024 4:00:00 PM,1/1/2024 11:00:00 AM,RTO,1741.261
1/1/2024 4:00:00 PM,1/1/2024 11:00:00 AM,RFC,1655.415
1/1/2024 3:00:00 PM,1/1/2024 10:00:00 AM,MIDATL,224.587
1/1/2024 3:00:00 PM,1/1/2024 10:00:00 AM,OTHER,29.097
1/1/2024 3:00:00 PM,1/1/2024 10:00:00 AM,SOUTH,85.834
1/1/2024 3:00:00 PM,1/1/2024 10:00:00 AM,WEST,1718.425
1/1/2024 3:00:00 PM,1/1/2024 10:00:00 AM,RTO,2028.846
1/1/2024 3:00:00 PM,1/1/2024 10:00:00 AM,RFC,1943.012
1/1/2024 2:00:00 PM,1/1/2024 9:00:00 AM,MIDATL,209.303
1/1/2024 2:00:00 PM,1/1/2024 9:00:00 AM,OTHER,28.836
1/1/2024 2:00:00 PM,1/1/2024 9:00:00 AM,SOUTH,84.066
1/1/2024 2:00:00 PM,1/1/2024 9:00:00 AM,WEST,1859.310
1/1/2024 2:00:00 PM,1/1/2024 9:00:00 AM,RTO,2152.679
1/1/2024 2:00:00 PM,1/1/2024 9:00:00 AM,RFC,2068.613
1/1/2024 1:00:00 PM,1/1/2024 8:00:00 AM,MIDATL,233.599
1/1/2024 1:00:00 PM,1/1/2024 8:00:00 AM,OTHER,28.366
1/1/2024 1:00:00 PM,1/1/2024 8:00:00 AM,SOUTH,97.175
1/1/2024 1:00:00 PM,1/1/2024 8:00:00 AM,WEST,2146.525
1/1/2024 1:00:00 PM,1/1/2024 8:00:00 AM,RTO,2477.299
1/1/2024 1:00:00 PM,1/1/2024 8:00:00 AM,RFC,2380.124
1/1/2024 12:00:00 PM,1/1/2024 7:00:00 AM,MIDATL,218.933
1/1/2024 12:00:00 PM,1/1/2024 7:00:00 AM,OTHER,27.443
1/1/2024 12:00:00 PM,1/1/2024 7:00:00 AM,SOUTH,123.860
1/1/2024 12:00:00 PM,1/1/2024 7:00:00 AM,WEST,2606.666
1/1/2024 12:00:00 PM,1/1/2024 7:00:00 AM,RTO,2949.459
1/1/2024 12:00:00 PM,1/1/2024 7:00:00 AM,RFC,2825.599
1/1/2024 11:00:00 AM,1/1/2024 6:00:00 AM,MIDATL,185.368
1/1/2024 11:00:00 AM,1/1/2024 6:00:00 AM,OTHER,27.228
1/1/2024 11:00:00 AM,1/1/2024 6:00:00 AM,SOUTH,101.394
1/1/2024 11:00:00 AM,1/1/2024 6:00:00 AM,WEST,2887.859
1/1/2024 11:00:00 AM,1/1/2024 6:00:00 AM,RTO,3174.621
1/1/2024 11:00:00 AM,1/1/2024 6:00:00 AM,RFC,3073.227
1/1/2024 10:00:00 AM,1/1/2024 5:00:00 AM,MIDATL,128.552
1/1/2024 10:00:00 AM,1/1/2024 5:00:00 AM,OTHER,26.110
1/1/2024 10:00:00 AM,1/1/2024 5:00:00 AM,SOUTH,112.057
1/1/2024 10:00:00 AM,1/1/2024 5:00:00 AM,WEST,3060.656
1/1/2024 10:00:00 AM,1/1/2024 5:00:00 AM,RTO,3301.265
1/1/2024 10:00:00 AM,1/1/2024 5:00:00 AM,RFC,3189.208
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,MIDATL,97.981
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,OTHER,25.381
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,SOUTH,108.620
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,WEST,3334.691
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RTO,3541.292
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,3432.672
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,MIDATL,78.067
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,OTHER,24.904
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,SOUTH,119.367
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,WEST,3496.402
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RTO,3693.836
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,3574.469
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,MIDATL,57.145
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,OTHER,25.048
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,SOUTH,83.076
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,WEST,3578.209
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RTO,3718.430
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,3635.354
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,MIDATL,76.950
